Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso,-0.0083533,0.0068737,-0.00026198,0,0,0,8.3142,0.12863,7.3069E-19,-6.3527E-19,0.14942,-1.9086E-18,0.034217,0,0,0,0,0,0,package://catbot/meshes/torso.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://catbot/meshes/torso.STL,,torso-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_top,0.043443,0,0.031641,0,0,0,0.74281,0.00091157,-4.3587E-20,-0.00016303,0.0015982,1.0339E-19,0.0019492,0,0,0,0,0,0,package://catbot/meshes/LF_top.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://catbot/meshes/LF_top.STL,,hip-1,Origin_LF_02,Axis_LF_02,LF_0,continuous,0.041647,-0.19974,0.0068737,1.5708,0,0,torso,0,0,1,,,,,,,,,,,,
LF_mid,0.011868,-0.11868,-4.0246E-15,0,0,0,0.42053,0.0025177,6.3871E-05,1.7889E-18,0.00023914,-2.1684E-19,0.0023351,0,0,0,0,0,0,package://catbot/meshes/LF_mid.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://catbot/meshes/LF_mid.STL,,leg-4,Origin_LF_12,Axis_LF_12,LF_1,continuous,0.1,0,0.0375,0.79172,0,0,LF_top,1,0,0,,,,,,,,,,,,
LF_bot,-0.0281323654405417,-0.118676345594585,-1.38777878078145E-16,0,0,0,0.420530964914874,0.00251771741245767,6.38714488107791E-05,1.43157697061471E-20,0.000239137877978165,-1.88380127469356E-18,0.0023350971851706,0,0,0,0,0,0,package://catbot/meshes/LF_bot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://catbot/meshes/LF_bot.STL,,leg-8,Origin_LF_22,Axis_LF_22,LF_2,continuous,0,-0.2,0,-1.5941,0,3.1416,LF_mid,1,0,0,,,,,,,,,,,,
RF_top,0.0434431624243415,-0.01,0.0316409159213933,0,0,0,0.742809724509617,0.000911568064346272,1.6752244435703E-19,-0.000163030997128549,0.00159822809215748,3.07637244182487E-20,0.00194921992793341,0,0,0,0,0,0,package://catbot/meshes/RF_top.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://catbot/meshes/RF_top.STL,,hip-2,Origin_RF_32,Axis_RF_32,RF_3,continuous,-0.058353,-0.19974,-0.0031263,-1.5708,0,-3.1416,torso,0,0,1,,,,,,,,,,,,
RF_mid,0.0118676345594662,-0.118676345594519,6.94722057659192E-14,0,0,0,0.420530964914874,0.00251771741245767,6.3871448810783E-05,4.01403446656845E-20,0.000239137877978165,-1.33492392487278E-18,0.0023350971851706,0,0,0,0,0,0,package://catbot/meshes/RF_mid.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://catbot/meshes/RF_mid.STL,,leg-5,Origin_RF_42,Axis_RF_42,RF_4,continuous,0.1,-0.01,0.0375,2.3499,0,0,RF_top,1,0,0,,,,,,,,,,,,
RF_bot,-0.0281323654405531,-0.118676345594582,2.92821322744885E-15,0,0,0,0.420530964914873,0.00251771741245768,6.38714488105677E-05,-1.58293517182884E-17,0.000239137877978152,-5.48877349820787E-18,0.0023350971851706,0,0,0,0,0,0,package://catbot/meshes/RF_bot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://catbot/meshes/RF_bot.STL,,leg-6,Origin_RF_52,Axis_RF_5,RF_5,continuous,0,-0.2,0,1.5941,0,3.1416,RF_mid,1,0,0,,,,,,,,,,,,
LB_top,0.0434431624241247,-0.0100001372498214,0.0316409159213933,0,0,0,0.742809724509618,0.000911568064353126,2.16936247095985E-09,-0.000163030997127735,0.00159822809215063,5.15063222596367E-10,0.00194921992793341,0,0,0,0,0,0,package://catbot/meshes/LB_top.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://catbot/meshes/LB_top.STL,,hip-6,Origin_LB_62,Axis_LB_62,LB_6,continuous,0.041647,0.20026,-0.0031263,-1.5708,0,0,torso,0,0,1,,,,,,,,,,,,
LB_mid,0.011868693885371,-0.118676319452495,-2.68805545600159E-08,0,0,0,0.420530964914874,0.00251771713107495,6.38764676846582E-05,-4.13607547178146E-10,0.000239138159359952,-1.44665601201045E-10,0.00233509718517154,0,0,0,0,0,0,package://catbot/meshes/LB_mid.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://catbot/meshes/LB_mid.STL,,leg-3,Origin_LB_72,Axis_LB_72,LB_7,continuous,0.099999,-0.01,0.0375,-2.3423,0,0,LB_top,1,0,0,,,,,,,,,,,,
LB_bot,-0.0281332007150992,-0.118676345594585,-1.66533453693773E-16,0,0,0,0.420530964914873,0.00251771741245767,6.38714488107831E-05,2.30430819882172E-20,0.000239137877978164,-3.74727375865302E-18,0.0023350971851706,0,0,0,0,0,0,package://catbot/meshes/LB_bot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://catbot/meshes/LB_bot.STL,,leg-9,Origin_LB_82,Axis_LB_82,LB_8,continuous,0,-0.2,0,-1.6314,0,-3.1416,LB_mid,1,0,0,,,,,,,,,,,,
